OBJECTID,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
92,91311,7.1,5.3,8.9,32300,633719439.387695,152159.245503549
93,91316,6.7,4.8,8.5,21900,158922399.015625,63843.0825034134
94,91324,7.2,5.5,9,24700,121478903.158203,63449.6116551003
95,91325,7.1,5.3,8.9,24800,133846101.102539,98047.2079151229
96,91326,7.3,5.5,9.1,28000,311973792.834961,106374.1891601
97,91331,12.6,9.4,15.8,74800,237080042.333984,87577.3714190934
98,91335,9.6,7.2,12,59400,182517575.148438,59869.8201002035
99,91340,12.7,9.5,15.9,27900,97073111.4130859,56015.087428125
100,91342,10.6,8.2,13,65100,1823247299.44238,298324.140275842
101,91343,8.5,6.4,10.6,46523,159193603.675781,64622.4155627277
102,91344,7.5,5.7,9.2,43000,398434105.59375,97884.893811843
103,91345,11.2,8.6,13.8,14400,90791225.6884766,43365.1004893893
104,91352,10.4,8,12.8,38900,415419094.125977,162985.692998963
105,91356,6.3,4.9,7.6,24400,208898448.080078,72629.8239401925
106,91364,6.2,4.4,7.9,20900,200193549.40625,75118.9547978848
107,91367,5.7,4.3,7.1,33000,216470653.544922,87120.851849398
108,91401,7.1,5.3,8.9,33200,99335496.7060547,51563.8213088195
109,91402,9.6,7.4,11.9,51600,104046170.34082,57693.8173435994
110,91403,5,3.6,6.4,17200,96843680.0351563,68597.9500645767
111,91405,8.6,6.3,10.9,36700,92209259.8613281,49011.2205834685
112,91406,8.4,6.3,10.4,44300,189361102.316406,68134.2563826093
113,91411,7.2,5.4,9.1,20600,53713776.2792969,43997.8448606004
114,91423,5.1,3.5,6.6,25400,113253257.547852,81059.1653457611
115,91436,5.9,3.9,7.9,15300,177689043.681641,77816.5367033394
116,91504,7,5.3,8.7,20700,131446473.575195,57507.8089187405
117,91505,6.9,4.9,8.9,25300,143159303.571289,93419.7090650599
118,91601,6.4,4.5,8.3,31900,74137860.2294922,50023.4068054081
119,91602,4.4,2.9,5.8,16500,58804795.6748047,42988.498789574
120,91604,4.5,2.8,6.1,24800,139593615.579102,76710.2863384623
121,91605,9.8,7.4,12.2,41800,147374306.048828,70606.0532097272
122,91606,8.7,6.5,10.9,34400,91562089.0341797,56311.7026200219
123,91607,5.8,4,7.5,24700,69607233.5136719,43360.655086559
124,91608,,,,0,16240540.1796875,17061.4089823393
