OBJECTID_1,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
71,90290,14.8,10.5,19.1,5200,521684317.946289,134585.667548709
72,90291,16.9,12.5,21.4,24600,65626605.8964844,38370.5447647127
73,90292,15,10.6,19.4,20900,68588838.3291016,37777.7118246671
74,90293,15.7,11.4,20,12400,52241405.1171875,56892.4062324885
75,90302,38,32.6,43.4,23100,51768022.2470703,38898.6629198022
76,90402,12.8,8.5,17.2,10900,54260993.3183594,49898.0491858042
77,90501,25.6,21.3,29.9,33500,157273051.574219,71750.07183597
78,90502,26,21.2,30.7,15200,63151351.8554688,42751.3702792476
79,90710,28.2,24,32.5,22200,74043898.4931641,47358.7562710179
80,90717,26.4,21.5,31.4,16300,54856764.5810547,46940.8182100851
81,90731,28.5,23.5,33.4,43800,356036412.860352,134529.162400659
82,90732,24.5,20,29.1,20100,88612944.2402344,86523.2397977696
83,90744,36.3,30.8,41.9,38100,243298098.939453,92694.9103074082
84,90810,32.4,27.4,37.3,31200,192310092.50293,81539.3056118472
85,91040,20.5,16.3,24.6,17800,342948303.863281,133126.57490043
86,91042,22,17.9,26.2,22700,1409499923.95996,227474.642742511
87,91214,17.2,13.5,20.8,25800,243895353.770508,85515.1746108706
88,91303,24.6,20.2,29,22800,59642299.2333984,39830.9250839544
89,91304,22.3,18.9,25.8,38300,264974246.654297,92738.925900505
90,91306,25.5,21.5,29.5,34400,115739867.226563,54949.3787167405
91,91307,18.4,14.9,21.9,18700,124165104.615234,54676.3352492666
92,91311,19.5,15.7,23.4,32300,633719439.387695,152159.245503549
93,91316,20.7,17.2,24.1,21900,158922399.015625,63843.0825034134
94,91324,21.2,17.6,24.8,24700,121478903.158203,63449.6116551003
95,91325,21.6,18,25.1,24800,133846101.102539,98047.2079151229
96,91326,16.5,13.1,19.8,28000,311973792.834961,106374.1891601
97,91331,34.2,28.2,40.2,74800,237080042.333984,87577.3714190934
98,91335,27.7,23.7,31.6,59400,182517575.148438,59869.8201002035
99,91340,34.4,28.5,40.2,27900,97073111.4130859,56015.087428125
100,91342,32.1,26.6,37.7,65100,1823247299.44238,298324.140275842
101,91343,26.1,21.5,30.6,46523,159193603.675781,64622.4155627277
102,91344,20.4,16.6,24.3,43000,398434105.59375,97884.893811843
103,91345,32.8,27.1,38.4,14400,90791225.6884766,43365.1004893893
104,91352,29.4,24.7,34.2,38900,415419094.125977,162985.692998963
105,91356,19.6,16.5,22.7,24400,208898448.080078,72629.8239401925
106,91364,18.1,14.5,21.6,20900,200193549.40625,75118.9547978848
107,91367,17.9,14.8,21,33000,216470653.544922,87120.851849398
108,91401,23.8,19.8,27.8,33200,99335496.7060547,51563.8213088195
109,91402,29.4,24.6,34.2,51600,104046170.34082,57693.8173435994
110,91403,17,13.3,20.8,17200,96843680.0351563,68597.9500645767
111,91405,26.3,22,30.5,36700,92209259.8613281,49011.2205834685
112,91406,27.1,22.9,31.4,44300,189361102.316406,68134.2563826093
113,91411,23.9,19.8,28.1,20600,53713776.2792969,43997.8448606004
114,91423,17.8,14.3,21.4,25400,113253257.547852,81059.1653457611
115,91436,15.4,12.1,18.7,15300,177689043.681641,77816.5367033394
116,91504,20.5,16.9,24.1,20700,131446473.575195,57507.8089187405
117,91505,20,16.4,23.6,25300,143159303.571289,93419.7090650599
118,91601,23,19.1,27,31900,74137860.2294922,50023.4068054081
119,91602,18.2,14.4,22.1,16500,58804795.6748047,42988.498789574
120,91604,15.8,11.9,19.6,24800,139593615.579102,76710.2863384623
121,91605,28.7,24.6,32.8,41800,147374306.048828,70606.0532097272
122,91606,26.3,22.4,30.3,34400,91562089.0341797,56311.7026200219
123,91607,21.1,17.4,24.8,24700,69607233.5136719,43360.655086559
124,91608,,,,0,16240540.1796875,17061.4089823393
