OBJECTID,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
1,90001,3.6,2.6,4.6,41800,95563401.8857422,48677.2785610168
2,90002,3.9,2.7,5.1,37900,82752224.2978516,44972.0171108108
3,90003,3.9,2.9,5,40900,102643123.491211,63303.481866108
4,90004,4.8,3.5,6.1,48100,83956967.5087891,52471.8977237524
5,90005,4.4,3,5.7,31600,36897792.4990234,88445.0018972521
6,90006,4.7,2.9,6.6,38400,53707686.5654297,37830.4179358462
7,90007,3.5,2,5.1,31900,68592062.2363281,57884.2331450721
8,90008,6,3.9,8.1,26700,106644565.649414,59093.4187828963
9,90010,4.9,3.1,6.7,8400,4543137.06445313,41839.00052879
10,90011,3.3,2,4.6,70500,119579543.422852,57120.064768486
11,90012,5.6,3.7,7.6,16600,98960500.2294922,55948.3515004274
12,90013,5.6,3.6,7.6,11800,16870839.2626953,25060.7493489812
13,90014,,,,1900,7917526.09277344,14875.2953088634
14,90015,4,2.7,5.3,16900,46602624.4726563,37381.5865505897
15,90016,5.1,3.8,6.4,37800,103266622.193359,57294.1452742735
16,90017,3.6,1.7,5.5,22000,19807345.0761719,24579.7270354598
17,90018,5.4,3.9,6.8,37700,83025066.0732422,44601.2750506757
18,90019,5.2,4,6.4,48100,106758472.319336,66607.6627425018
19,90020,4.4,3.1,5.8,27700,32961671.9248047,41832.3993440677
20,90021,4.4,2.5,6.3,2600,57382616.9697266,38396.7681731159
21,90023,4,3.1,4.8,32300,159187491.179688,78312.7634839568
22,90024,4.7,3.7,5.7,34900,81821002.8193359,59099.3694561489
23,90025,4.4,3.4,5.5,37333,69502027.9511719,61701.2033276344
24,90026,4.5,3.2,5.7,56100,114071667.723633,65681.0691020727
25,90027,5.7,4.3,7,35700,240682383.553711,80042.7031410475
26,90028,4.7,3,6.3,26300,43287308.1162109,40223.5212100881
27,90029,5.1,3.4,6.8,30300,39819876.1806641,35471.1945445837
28,90031,5.1,3.8,6.4,29300,106239041.625,79588.4119946168
29,90032,4.7,3.8,5.7,33300,140227856.530273,66300.1500728732
30,90033,4.5,3.1,5.8,32500,85104880.6943359,45641.6022256483
31,90034,3.5,2.6,4.5,50300,86401301.3076172,56671.5730909411
32,90035,5.4,4.3,6.4,22400,57209188.6298828,43983.5857328013
33,90036,4.7,3.5,5.9,30500,69593162.2822266,41354.9817222774
34,90037,4,2.7,5.3,45500,81432299.0292969,48129.4289816606
35,90038,4.5,3.3,5.7,22800,42456299.7392578,39784.5574513761
36,90039,5.2,4.1,6.4,22800,113014223.59375,69937.0605590244
37,90041,5.6,4.4,6.8,20500,98934408.8085938,68444.4621726539
38,90042,4.7,3.8,5.7,46900,126051522.908203,69418.5082699374
39,90043,6,4.3,7.8,36100,113286768.980469,57259.1341202225
